step_type,req_ids,s_time_s,d_time_s,batch_size,total_tokens,ctx_lens,computed_tokens,mm_items,cache_hits
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.688472,0.000041,1,1,1616,1483,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.702294,0.000041,1,1,1618,1484,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.716094,0.000040,1,1,1620,1485,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.729908,0.000039,1,1,1622,1486,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.743734,0.000041,1,1,1624,1487,0,0
decode,,3165907.757547,0.000097,0,0,,,0,0
decode,,3165907.757995,0.000068,0,0,,,0,0
prefill,chatcmpl-ae5702c29bc2258d-a77172a1,3165907.845411,0.000522,1,1351,1351,0,1,0
encoder,chatcmpl-ae5702c29bc2258d-a77172a1,3165907.847804,0.375233,1,0,,, 1,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.375135,0.000044,1,1,1352,1351,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.389341,0.000040,1,1,1354,1352,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.403162,0.000042,1,1,1356,1353,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.416975,0.000042,1,1,1358,1354,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.430745,0.000041,1,1,1360,1355,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.444521,0.000041,1,1,1362,1356,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.458295,0.000042,1,1,1364,1357,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.472071,0.000041,1,1,1366,1358,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.485828,0.000040,1,1,1368,1359,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.499686,0.000042,1,1,1370,1360,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.513440,0.000041,1,1,1372,1361,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.527199,0.000043,1,1,1374,1362,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.540963,0.000043,1,1,1376,1363,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.554726,0.000040,1,1,1378,1364,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.568482,0.000042,1,1,1380,1365,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.582234,0.000041,1,1,1382,1366,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.596012,0.000043,1,1,1384,1367,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.609772,0.000042,1,1,1386,1368,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.623524,0.000043,1,1,1388,1369,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.637293,0.000042,1,1,1390,1370,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.651155,0.000041,1,1,1392,1371,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.665023,0.000043,1,1,1394,1372,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.678855,0.000042,1,1,1396,1373,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.692633,0.000042,1,1,1398,1374,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.706386,0.000043,1,1,1400,1375,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.720149,0.000041,1,1,1402,1376,0,0
