step_type,req_ids,s_time_s,d_time_s,batch_size,total_tokens,ctx_lens,computed_tokens,mm_items,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.285517,0.014191,1,1,1455,1454,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.299932,0.014200,1,1,1456,1455,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.314358,0.014203,1,1,1457,1456,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.328785,0.014204,1,1,1458,1457,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.343214,0.014209,1,1,1459,1458,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.357650,0.014193,1,1,1460,1459,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.372078,0.014193,1,1,1461,1460,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.386495,0.014198,1,1,1462,1461,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.400918,0.014183,1,1,1463,1462,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.415328,0.014211,1,1,1464,1463,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.429766,0.014274,1,1,1465,1464,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.444267,0.014183,1,1,1466,1465,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.458680,0.014193,1,1,1467,1466,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.473096,0.014186,1,1,1468,1467,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.487507,0.014197,1,1,1469,1468,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.501929,0.014210,1,1,1470,1469,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.516365,0.014207,1,1,1471,1470,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.530800,0.014225,1,1,1472,1471,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.545253,0.014191,1,1,1473,1472,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.559673,0.014217,1,1,1474,1473,0,0
